Provincias de destino;Procedencia de los viajeros;Meses;Total
Albacete;Total;Total;2,57
Albacete;Total;Enero;2,15
Albacete;Total;Febrero;2,16
Albacete;Total;Marzo;2,53
Albacete;Total;Abril;2,2
Albacete;Total;Mayo;2,24
Albacete;Total;Junio;2,22
Albacete;Total;Julio;3,04
Albacete;Total;Agosto;3,49
Albacete;Total;Septiembre;2,32
Albacete;Total;Octubre;2,22
Albacete;Total;Noviembre;2,18
Albacete;Total;Diciembre;2,67
Albacete;Residentes en España;Total;2,57
Albacete;Residentes en España;Enero;2,14
Albacete;Residentes en España;Febrero;2,16
Albacete;Residentes en España;Marzo;2,53
Albacete;Residentes en España;Abril;2,2
Albacete;Residentes en España;Mayo;2,26
Albacete;Residentes en España;Junio;2,23
Albacete;Residentes en España;Julio;3,05
Albacete;Residentes en España;Agosto;3,5
Albacete;Residentes en España;Septiembre;2,32
Albacete;Residentes en España;Octubre;2,23
Albacete;Residentes en España;Noviembre;2,19
Albacete;Residentes en España;Diciembre;2,67
Albacete;No Residentes en España;Total;2,05
Albacete;No Residentes en España;Enero;2,76
Albacete;No Residentes en España;Febrero;1,95
Albacete;No Residentes en España;Marzo;3,2
Albacete;No Residentes en España;Abril;3,31
Albacete;No Residentes en España;Mayo;1,46
Albacete;No Residentes en España;Junio;1,17
Albacete;No Residentes en España;Julio;2,64
Albacete;No Residentes en España;Agosto;1,41
Albacete;No Residentes en España;Septiembre;1,67
Albacete;No Residentes en España;Octubre;1,37
Albacete;No Residentes en España;Noviembre;1,58
Albacete;No Residentes en España;Diciembre;3,14
Alicante;Total;Total;2,29
Alicante;Total;Enero;1,66
Alicante;Total;Febrero;1,95
Alicante;Total;Marzo;2,31
Alicante;Total;Abril;2,51
Alicante;Total;Mayo;2,25
Alicante;Total;Junio;2,11
Alicante;Total;Julio;2,64
Alicante;Total;Agosto;2,82
Alicante;Total;Septiembre;2,18
Alicante;Total;Octubre;2,16
Alicante;Total;Noviembre;2,05
Alicante;Total;Diciembre;2,23
Alicante;Residentes en España;Total;2,15
Alicante;Residentes en España;Enero;1,56
Alicante;Residentes en España;Febrero;1,95
Alicante;Residentes en España;Marzo;2,27
Alicante;Residentes en España;Abril;2,25
Alicante;Residentes en España;Mayo;2
Alicante;Residentes en España;Junio;2,01
Alicante;Residentes en España;Julio;2,61
Alicante;Residentes en España;Agosto;2,72
Alicante;Residentes en España;Septiembre;1,99
Alicante;Residentes en España;Octubre;1,73
Alicante;Residentes en España;Noviembre;1,88
Alicante;Residentes en España;Diciembre;2,11
Alicante;No Residentes en España;Total;2,79
Alicante;No Residentes en España;Enero;2,1
Alicante;No Residentes en España;Febrero;1,97
Alicante;No Residentes en España;Marzo;2,46
Alicante;No Residentes en España;Abril;3,26
Alicante;No Residentes en España;Mayo;3,15
Alicante;No Residentes en España;Junio;2,45
Alicante;No Residentes en España;Julio;2,75
Alicante;No Residentes en España;Agosto;3,2
Alicante;No Residentes en España;Septiembre;2,68
Alicante;No Residentes en España;Octubre;3,14
Alicante;No Residentes en España;Noviembre;2,62
Alicante;No Residentes en España;Diciembre;3,4
Almería;Total;Total;2,68
Almería;Total;Enero;2,15
Almería;Total;Febrero;2,2
Almería;Total;Marzo;2,26
Almería;Total;Abril;2,39
Almería;Total;Mayo;2,05
Almería;Total;Junio;2,59
Almería;Total;Julio;3,11
Almería;Total;Agosto;3,47
Almería;Total;Septiembre;2,98
Almería;Total;Octubre;2,54
Almería;Total;Noviembre;2,12
Almería;Total;Diciembre;2,24
Almería;Residentes en España;Total;2,5
Almería;Residentes en España;Enero;2,09
Almería;Residentes en España;Febrero;1,8
Almería;Residentes en España;Marzo;2,22
Almería;Residentes en España;Abril;1,97
Almería;Residentes en España;Mayo;1,78
Almería;Residentes en España;Junio;2,37
Almería;Residentes en España;Julio;3
Almería;Residentes en España;Agosto;3,24
Almería;Residentes en España;Septiembre;2,92
Almería;Residentes en España;Octubre;2,23
Almería;Residentes en España;Noviembre;1,98
Almería;Residentes en España;Diciembre;2,12
Almería;No Residentes en España;Total;3,07
Almería;No Residentes en España;Enero;2,31
Almería;No Residentes en España;Febrero;3,28
Almería;No Residentes en España;Marzo;2,34
Almería;No Residentes en España;Abril;2,89
Almería;No Residentes en España;Mayo;2,49
Almería;No Residentes en España;Junio;3,19
Almería;No Residentes en España;Julio;3,43
Almería;No Residentes en España;Agosto;4,2
Almería;No Residentes en España;Septiembre;3,07
Almería;No Residentes en España;Octubre;2,88
Almería;No Residentes en España;Noviembre;2,52
Almería;No Residentes en España;Diciembre;3,07
Araba;Total;Total;2,28
Araba;Total;Enero;1,96
Araba;Total;Febrero;1,98
Araba;Total;Marzo;2,28
Araba;Total;Abril;1,98
Araba;Total;Mayo;1,94
Araba;Total;Junio;2,15
Araba;Total;Julio;2,57
Araba;Total;Agosto;3,09
Araba;Total;Septiembre;2,09
Araba;Total;Octubre;2,01
Araba;Total;Noviembre;2,16
Araba;Total;Diciembre;2,38
Araba;Residentes en España;Total;2,32
Araba;Residentes en España;Enero;2,07
Araba;Residentes en España;Febrero;1,89
Araba;Residentes en España;Marzo;2,37
Araba;Residentes en España;Abril;2,01
Araba;Residentes en España;Mayo;1,96
Araba;Residentes en España;Junio;2,21
Araba;Residentes en España;Julio;2,7
Araba;Residentes en España;Agosto;3,43
Araba;Residentes en España;Septiembre;2,05
Araba;Residentes en España;Octubre;2,07
Araba;Residentes en España;Noviembre;2,09
Araba;Residentes en España;Diciembre;2,4
Araba;No Residentes en España;Total;2,14
Araba;No Residentes en España;Enero;1,42
Araba;No Residentes en España;Febrero;2,33
Araba;No Residentes en España;Marzo;1,75
Araba;No Residentes en España;Abril;1,87
Araba;No Residentes en España;Mayo;1,88
Araba;No Residentes en España;Junio;1,99
Araba;No Residentes en España;Julio;2,36
Araba;No Residentes en España;Agosto;2,47
Araba;No Residentes en España;Septiembre;2,17
Araba;No Residentes en España;Octubre;1,82
Araba;No Residentes en España;Noviembre;2,61
Araba;No Residentes en España;Diciembre;2,24
Asturias;Total;Total;3,06
Asturias;Total;Enero;2,06
Asturias;Total;Febrero;2,14
Asturias;Total;Marzo;2,59
Asturias;Total;Abril;1,98
Asturias;Total;Mayo;2,37
Asturias;Total;Junio;2,35
Asturias;Total;Julio;3,55
Asturias;Total;Agosto;4,28
Asturias;Total;Septiembre;3,1
Asturias;Total;Octubre;2,34
Asturias;Total;Noviembre;2,31
Asturias;Total;Diciembre;3,24
Asturias;Residentes en España;Total;3,1
Asturias;Residentes en España;Enero;2,01
Asturias;Residentes en España;Febrero;2,16
Asturias;Residentes en España;Marzo;2,52
Asturias;Residentes en España;Abril;2,07
Asturias;Residentes en España;Mayo;2,35
Asturias;Residentes en España;Junio;2,36
Asturias;Residentes en España;Julio;3,63
Asturias;Residentes en España;Agosto;4,3
Asturias;Residentes en España;Septiembre;3,24
Asturias;Residentes en España;Octubre;2,3
Asturias;Residentes en España;Noviembre;2,11
Asturias;Residentes en España;Diciembre;2,99
Asturias;No Residentes en España;Total;2,84
Asturias;No Residentes en España;Enero;2,6
Asturias;No Residentes en España;Febrero;1,98
Asturias;No Residentes en España;Marzo;3,07
Asturias;No Residentes en España;Abril;1,72
Asturias;No Residentes en España;Mayo;2,44
Asturias;No Residentes en España;Junio;2,32
Asturias;No Residentes en España;Julio;3,08
Asturias;No Residentes en España;Agosto;4,09
Asturias;No Residentes en España;Septiembre;2,63
Asturias;No Residentes en España;Octubre;2,53
Asturias;No Residentes en España;Noviembre;3,55
Asturias;No Residentes en España;Diciembre;6,96
Ávila;Total;Total;2,52
Ávila;Total;Enero;2,27
Ávila;Total;Febrero;2,45
Ávila;Total;Marzo;2,7
Ávila;Total;Abril;2,09
Ávila;Total;Mayo;2,02
Ávila;Total;Junio;2,04
Ávila;Total;Julio;3,07
Ávila;Total;Agosto;3,42
Ávila;Total;Septiembre;2,26
Ávila;Total;Octubre;2,28
Ávila;Total;Noviembre;2,26
Ávila;Total;Diciembre;2,6
Ávila;Residentes en España;Total;2,47
Ávila;Residentes en España;Enero;2,2
Ávila;Residentes en España;Febrero;2,02
Ávila;Residentes en España;Marzo;2,61
Ávila;Residentes en España;Abril;2,07
Ávila;Residentes en España;Mayo;2
Ávila;Residentes en España;Junio;2,04
Ávila;Residentes en España;Julio;3,05
Ávila;Residentes en España;Agosto;3,4
Ávila;Residentes en España;Septiembre;2,27
Ávila;Residentes en España;Octubre;2,22
Ávila;Residentes en España;Noviembre;2,26
Ávila;Residentes en España;Diciembre;2,6
Ávila;No Residentes en España;Total;4,27
Ávila;No Residentes en España;Enero;6,79
Ávila;No Residentes en España;Febrero;7,37
Ávila;No Residentes en España;Marzo;4,86
Ávila;No Residentes en España;Abril;2,95
Ávila;No Residentes en España;Mayo;2,43
Ávila;No Residentes en España;Junio;2,31
Ávila;No Residentes en España;Julio;3,6
Ávila;No Residentes en España;Agosto;4,35
Ávila;No Residentes en España;Septiembre;1,85
Ávila;No Residentes en España;Octubre;5,02
Ávila;No Residentes en España;Noviembre;2,94
Ávila;No Residentes en España;Diciembre;2,67
Badajoz;Total;Total;2,08
Badajoz;Total;Enero;2,34
Badajoz;Total;Febrero;2,06
Badajoz;Total;Marzo;2,22
Badajoz;Total;Abril;1,95
Badajoz;Total;Mayo;2,04
Badajoz;Total;Junio;1,89
Badajoz;Total;Julio;2,16
Badajoz;Total;Agosto;2,38
Badajoz;Total;Septiembre;1,92
Badajoz;Total;Octubre;1,9
Badajoz;Total;Noviembre;1,93
Badajoz;Total;Diciembre;2,12
Badajoz;Residentes en España;Total;2,07
Badajoz;Residentes en España;Enero;2,44
Badajoz;Residentes en España;Febrero;2,12
Badajoz;Residentes en España;Marzo;2,28
Badajoz;Residentes en España;Abril;1,88
Badajoz;Residentes en España;Mayo;1,97
Badajoz;Residentes en España;Junio;1,94
Badajoz;Residentes en España;Julio;2,15
Badajoz;Residentes en España;Agosto;2,39
Badajoz;Residentes en España;Septiembre;1,9
Badajoz;Residentes en España;Octubre;1,75
Badajoz;Residentes en España;Noviembre;1,89
Badajoz;Residentes en España;Diciembre;2,13
Badajoz;No Residentes en España;Total;2,11
Badajoz;No Residentes en España;Enero;1,61
Badajoz;No Residentes en España;Febrero;1,66
Badajoz;No Residentes en España;Marzo;1,84
Badajoz;No Residentes en España;Abril;2,16
Badajoz;No Residentes en España;Mayo;2,33
Badajoz;No Residentes en España;Junio;1,61
Badajoz;No Residentes en España;Julio;2,21
Badajoz;No Residentes en España;Agosto;2,32
Badajoz;No Residentes en España;Septiembre;2
Badajoz;No Residentes en España;Octubre;2,43
Badajoz;No Residentes en España;Noviembre;2,16
Badajoz;No Residentes en España;Diciembre;2,04
Balears, Illes;Total;Total;3,1
Balears, Illes;Total;Enero;2,34
Balears, Illes;Total;Febrero;2,58
Balears, Illes;Total;Marzo;2,88
Balears, Illes;Total;Abril;2,99
Balears, Illes;Total;Mayo;3,19
Balears, Illes;Total;Junio;3,38
Balears, Illes;Total;Julio;3,18
Balears, Illes;Total;Agosto;3,38
Balears, Illes;Total;Septiembre;3,18
Balears, Illes;Total;Octubre;2,89
Balears, Illes;Total;Noviembre;2,51
Balears, Illes;Total;Diciembre;2,38
Balears, Illes;Residentes en España;Total;2,28
Balears, Illes;Residentes en España;Enero;1,7
Balears, Illes;Residentes en España;Febrero;1,84
Balears, Illes;Residentes en España;Marzo;1,96
Balears, Illes;Residentes en España;Abril;2,1
Balears, Illes;Residentes en España;Mayo;2,22
Balears, Illes;Residentes en España;Junio;2,52
Balears, Illes;Residentes en España;Julio;2,62
Balears, Illes;Residentes en España;Agosto;2,86
Balears, Illes;Residentes en España;Septiembre;2,3
Balears, Illes;Residentes en España;Octubre;2,45
Balears, Illes;Residentes en España;Noviembre;1,72
Balears, Illes;Residentes en España;Diciembre;1,9
Balears, Illes;No Residentes en España;Total;3,27
Balears, Illes;No Residentes en España;Enero;3,03
Balears, Illes;No Residentes en España;Febrero;3,16
Balears, Illes;No Residentes en España;Marzo;3,15
Balears, Illes;No Residentes en España;Abril;3,1
Balears, Illes;No Residentes en España;Mayo;3,33
Balears, Illes;No Residentes en España;Junio;3,53
Balears, Illes;No Residentes en España;Julio;3,27
Balears, Illes;No Residentes en España;Agosto;3,47
Balears, Illes;No Residentes en España;Septiembre;3,32
Balears, Illes;No Residentes en España;Octubre;2,94
Balears, Illes;No Residentes en España;Noviembre;3,07
Balears, Illes;No Residentes en España;Diciembre;2,76
Barcelona;Total;Total;2,47
Barcelona;Total;Enero;1,98
Barcelona;Total;Febrero;1,99
Barcelona;Total;Marzo;2,22
Barcelona;Total;Abril;1,96
Barcelona;Total;Mayo;2,04
Barcelona;Total;Junio;2,23
Barcelona;Total;Julio;3,43
Barcelona;Total;Agosto;4,27
Barcelona;Total;Septiembre;2,14
Barcelona;Total;Octubre;1,97
Barcelona;Total;Noviembre;1,96
Barcelona;Total;Diciembre;2,7
Barcelona;Residentes en España;Total;2,27
Barcelona;Residentes en España;Enero;1,86
Barcelona;Residentes en España;Febrero;1,79
Barcelona;Residentes en España;Marzo;2,13
Barcelona;Residentes en España;Abril;1,85
Barcelona;Residentes en España;Mayo;1,93
Barcelona;Residentes en España;Junio;2,11
Barcelona;Residentes en España;Julio;2,82
Barcelona;Residentes en España;Agosto;4,15
Barcelona;Residentes en España;Septiembre;2,04
Barcelona;Residentes en España;Octubre;1,86
Barcelona;Residentes en España;Noviembre;1,94
Barcelona;Residentes en España;Diciembre;2,59
Barcelona;No Residentes en España;Total;3,44
Barcelona;No Residentes en España;Enero;5,11
Barcelona;No Residentes en España;Febrero;5,5
Barcelona;No Residentes en España;Marzo;3,99
Barcelona;No Residentes en España;Abril;2,38
Barcelona;No Residentes en España;Mayo;2,45
Barcelona;No Residentes en España;Junio;2,87
Barcelona;No Residentes en España;Julio;4,82
Barcelona;No Residentes en España;Agosto;4,52
Barcelona;No Residentes en España;Septiembre;2,54
Barcelona;No Residentes en España;Octubre;2,57
Barcelona;No Residentes en España;Noviembre;2,09
Barcelona;No Residentes en España;Diciembre;4,12
Bizkaia;Total;Total;2,23
Bizkaia;Total;Enero;2,25
Bizkaia;Total;Febrero;1,96
Bizkaia;Total;Marzo;2,06
Bizkaia;Total;Abril;2,03
Bizkaia;Total;Mayo;1,78
Bizkaia;Total;Junio;2,1
Bizkaia;Total;Julio;2,47
Bizkaia;Total;Agosto;2,99
Bizkaia;Total;Septiembre;1,98
Bizkaia;Total;Octubre;1,91
Bizkaia;Total;Noviembre;2,17
Bizkaia;Total;Diciembre;2,3
Bizkaia;Residentes en España;Total;2,33
Bizkaia;Residentes en España;Enero;2,32
Bizkaia;Residentes en España;Febrero;2,06
Bizkaia;Residentes en España;Marzo;2,13
Bizkaia;Residentes en España;Abril;2,12
Bizkaia;Residentes en España;Mayo;1,95
Bizkaia;Residentes en España;Junio;2,28
Bizkaia;Residentes en España;Julio;2,57
Bizkaia;Residentes en España;Agosto;3,17
Bizkaia;Residentes en España;Septiembre;2,13
Bizkaia;Residentes en España;Octubre;1,98
Bizkaia;Residentes en España;Noviembre;2,16
Bizkaia;Residentes en España;Diciembre;2,25
Bizkaia;No Residentes en España;Total;1,98
Bizkaia;No Residentes en España;Enero;1,53
Bizkaia;No Residentes en España;Febrero;1,38
Bizkaia;No Residentes en España;Marzo;1,62
Bizkaia;No Residentes en España;Abril;1,79
Bizkaia;No Residentes en España;Mayo;1,56
Bizkaia;No Residentes en España;Junio;1,83
Bizkaia;No Residentes en España;Julio;2,3
Bizkaia;No Residentes en España;Agosto;2,62
Bizkaia;No Residentes en España;Septiembre;1,69
Bizkaia;No Residentes en España;Octubre;1,76
Bizkaia;No Residentes en España;Noviembre;2,21
Bizkaia;No Residentes en España;Diciembre;2,61
Burgos;Total;Total;2,15
Burgos;Total;Enero;2,03
Burgos;Total;Febrero;2,16
Burgos;Total;Marzo;2,56
Burgos;Total;Abril;1,94
Burgos;Total;Mayo;1,76
Burgos;Total;Junio;1,85
Burgos;Total;Julio;2,25
Burgos;Total;Agosto;2,81
Burgos;Total;Septiembre;1,83
Burgos;Total;Octubre;2,05
Burgos;Total;Noviembre;1,93
Burgos;Total;Diciembre;2,41
Burgos;Residentes en España;Total;2,2
Burgos;Residentes en España;Enero;2,02
Burgos;Residentes en España;Febrero;2,17
Burgos;Residentes en España;Marzo;2,59
Burgos;Residentes en España;Abril;1,93
Burgos;Residentes en España;Mayo;1,84
Burgos;Residentes en España;Junio;1,91
Burgos;Residentes en España;Julio;2,34
Burgos;Residentes en España;Agosto;2,92
Burgos;Residentes en España;Septiembre;1,93
Burgos;Residentes en España;Octubre;2,09
Burgos;Residentes en España;Noviembre;1,93
Burgos;Residentes en España;Diciembre;2,42
Burgos;No Residentes en España;Total;1,7
Burgos;No Residentes en España;Enero;2,14
Burgos;No Residentes en España;Febrero;1,98
Burgos;No Residentes en España;Marzo;1,94
Burgos;No Residentes en España;Abril;2,02
Burgos;No Residentes en España;Mayo;1,33
Burgos;No Residentes en España;Junio;1,47
Burgos;No Residentes en España;Julio;1,85
Burgos;No Residentes en España;Agosto;2,09
Burgos;No Residentes en España;Septiembre;1,39
Burgos;No Residentes en España;Octubre;1,61
Burgos;No Residentes en España;Noviembre;2,02
Burgos;No Residentes en España;Diciembre;2,1
Cáceres;Total;Total;2,42
Cáceres;Total;Enero;2,11
Cáceres;Total;Febrero;2,15
Cáceres;Total;Marzo;2,51
Cáceres;Total;Abril;2,29
Cáceres;Total;Mayo;2,32
Cáceres;Total;Junio;2,21
Cáceres;Total;Julio;2,83
Cáceres;Total;Agosto;2,87
Cáceres;Total;Septiembre;2,32
Cáceres;Total;Octubre;1,97
Cáceres;Total;Noviembre;2,09
Cáceres;Total;Diciembre;2,46
Cáceres;Residentes en España;Total;2,41
Cáceres;Residentes en España;Enero;2,1
Cáceres;Residentes en España;Febrero;2,17
Cáceres;Residentes en España;Marzo;2,56
Cáceres;Residentes en España;Abril;2,12
Cáceres;Residentes en España;Mayo;2,26
Cáceres;Residentes en España;Junio;2,22
Cáceres;Residentes en España;Julio;2,81
Cáceres;Residentes en España;Agosto;2,9
Cáceres;Residentes en España;Septiembre;2,33
Cáceres;Residentes en España;Octubre;2
Cáceres;Residentes en España;Noviembre;2,11
Cáceres;Residentes en España;Diciembre;2,49
Cáceres;No Residentes en España;Total;2,45
Cáceres;No Residentes en España;Enero;2,29
Cáceres;No Residentes en España;Febrero;2,01
Cáceres;No Residentes en España;Marzo;2,29
Cáceres;No Residentes en España;Abril;2,92
Cáceres;No Residentes en España;Mayo;2,59
Cáceres;No Residentes en España;Junio;2,15
Cáceres;No Residentes en España;Julio;3,01
Cáceres;No Residentes en España;Agosto;2,65
Cáceres;No Residentes en España;Septiembre;2,24
Cáceres;No Residentes en España;Octubre;1,81
Cáceres;No Residentes en España;Noviembre;1,99
Cáceres;No Residentes en España;Diciembre;2,24
Cádiz;Total;Total;2,34
Cádiz;Total;Enero;2,44
Cádiz;Total;Febrero;1,79
Cádiz;Total;Marzo;2,15
Cádiz;Total;Abril;2,44
Cádiz;Total;Mayo;2,16
Cádiz;Total;Junio;2,25
Cádiz;Total;Julio;2,8
Cádiz;Total;Agosto;2,77
Cádiz;Total;Septiembre;2,43
Cádiz;Total;Octubre;2,04
Cádiz;Total;Noviembre;2,03
Cádiz;Total;Diciembre;2,33
Cádiz;Residentes en España;Total;2,13
Cádiz;Residentes en España;Enero;2,58
Cádiz;Residentes en España;Febrero;1,56
Cádiz;Residentes en España;Marzo;2,08
Cádiz;Residentes en España;Abril;1,95
Cádiz;Residentes en España;Mayo;1,77
Cádiz;Residentes en España;Junio;1,8
Cádiz;Residentes en España;Julio;2,66
Cádiz;Residentes en España;Agosto;2,7
Cádiz;Residentes en España;Septiembre;2,36
